observation_1,observation_2,hypothesis_1,hypothesis_2,label
Tom went to an electronics store to buy earphones.,Tom decided to always buy more expensive ear phones.,Tom was an elitist.,Tom bought costly ones but they broke right away.,1
Kaya needed to buy a new dress for the upcoming Spring Formal.,She couldn't resist so she bought the antique vase.,"At the store, Kaya saw a very beautiful vase.","Kaya could not find a single thing at the store,.",1
Sam came home to find water all over his kitchen floor.,Sam restocked his new fridge with all his favorite food.,Sam put a towel under the leaky fridge.,Sam dishwasher broke and was leaking.,2
Anna had a bad headache.,"Thankfully, when she awoke, the headache was gone.",Anna took a few asprins and laid down and took a nap.,She went to a concert to get rid of it.,1
Last night I had a dream about biking.,"I woke up, bitterly disappointed.",my dream was very real and I was on a fun bike tour.,I actually have a bike.,1
It was starting to get late outside.,Her parents grounded her for a week for being late.,She forgot what time it was and was home late.,She was supposed to be home an hour after she arrived.,1
Kim wanted to buy a car.,Kim was hired to a job and saved enough money for her car.,Kim needed more money than she could get.,Kim applied for jobs to make money.,2
Joe was running late for school.,"Joe had a tasty, healthy breakfast of apples and bananas!",Joe had plenty of time to cook something.,Joe didn't have time to cook something.,2
Tim needed a fruit to eat.,"Finally, he found some fresh grapes to eat.",He went to the near by super market.,Tim looked for a long time in the messy fridge.,2
Gina's mom had taken a rap tape from her kids.,He stood smiling as his tape was smashed.,The rap tape was mean and rude.,Gina  take their new tape.,1
Kelly loves to eat sweet desserts.,We all ate the brownie sundae for dessert.,We ordered a dessert everyone would like.,We ordered appetizers everyone would like.,1
Ora had always been overweight.,"With their help, Ora lost over twenty pounds!",Ora decided to eat healthy for a month.,Ora decided she wanted to maintainer her weight.,1
Priya decided to try a new restaurant.,Priya thought her food was delicious.,She ordered two shrimp dishes.,The food that Priya ordered was microwaved and precooked.,1
Jamie and Candice were going on a date.,"Finally, they settled on ice cream!",Jamie and Candice did not know what movie to see.,Jamie and Candice couldn't decide what to do.,2
Scott has felt increasingly unhappy in his last few Year's in New York.,"Driving out of New York, Scott feels both relieved and nostalgic.",Scott found a job in New York.,"The daily grind, extreme traffic and rude city dwellers left Scott longing for small town living.",2
I went to the store one day to buy clothes.,I went home and the jeans fit much better.,I got larger sizes.,I bought jeans thought they were a bit expensive.,1
Sam was on a date with her boyfriend.,"When her boyfriend asked if she wanted to hang out, she yelled at him.",They ran into a cute friend of Sam's on the way to dinner.,"The date went bad, they went home on good terms.",1
Pam does surveys daily to try to win prizes on Survey Monkey.,Pam did not seem to think there was anything wrong with that.,Pam tried her best to be as honest as possible.,Pam wasted time with doing her surveys.,2
Lydia had a strange dream last night.,Lydia wished the dream were real.,"In Lydia's dream, she was poor and lonely.","In Lydia's dream, she was rich and famous.",2
Dana always wanted to ride a bike.,They were riding around together within minutes.,Dana asked a neighbor to ride with her.,Her friend asked Dana to teach her how to ride.,1
Kelly wanted to try out for soccer this year.,Kelly celebrated by getting pizza.,Kelly tried out for the soccer team but was cut.,Kelly made it onto the team.,2
Tom was excited to use his new gas grill.,Tom's garage and grill were both destroyed.,Tom didn't check the grills gas.,Tom didn't check the grill's safety.,2
Martin went to camp with his friends.,Martin caught many fish so that everyone could eat.,Martins friends went fishing without martin.,He was the best fisherman of the group.,2
Sam was excited to get his car washed.,He had forgotten to close the window in all the excitement.,After the car wash Sam noticed his car seats were all soaking wet.,He rolled up all his windows and began daydreaming of how well his car would look after the wash.,1
May really wanted to go to the concert that was playing next week.,A kind reader wrote back to offer her two free tickets to the concert!,May sent out tweets looking for tickets.,So she bought 2 tickets online.,1
Mindy decided to go over jake's house.,She panicked and ran screaming out of his house.,"When Mindy walked in the door, Jake was naked.",Mindy scared Jake when she came into the house.,1
I was having trouble finding my comfortable slippers.,"Finders keepers, she told me.",The dog stole the slippers.,My sister stole my slippers.,2
I did not like the color of my lips.,"Over time, people at school accepted me for the person I wished to be.",I used a marker to paint them bright pink.,I wanted to have normal lips. I painted them red and people liked it.,1
A family went shopping together.,The father bought the boy a new computer.,Their son was very well behaved.,The boy needed a new cell phone.,1
I was working on my laptop one day.,"After paying the bill, I no longer experienced issues.",i got an e-mail saying my cable bill was current and service would be upgraded.,The internet was very slow and then stopped completely.,2
Isa was getting married but couldn't afford a bouquet.,Isa ended up with a beautiful hand picked bouquet!,Isa went to the country site and found some flowers.,Isa forgot about the bouquet.,1
There is a beaver that has been building a dam by our school.,The beaver decided to leave the area and went further down stream.,People destroyed the dam the beaver was building.,"Everyone was all over the hotel, trying to see him.",1
My family was on vacation in Italy.,It was our favorite picture of the vacation.,We took a beautiful picture of Spain.,We took a photo next to the coliseum in Rome.,2
I told Bill not to go to Lansing.,"He got in an accident on the highway, he should of listened.",bill said he would be fine and left.,Bill went to Lansing via air anyways.,1
Liv wanted to dance ballet.,Liv's classmates her so jealous and shocked!,Liv's mother signed her up.,She was not very talented.,1
A little boy sick in a hospital worshiped a famous basketball player.,Standing in front of the coffee shop was the ball player!,One day a nurse said they should go to the coffee shop for a treat.,The baseball player looked out the window at a coffee shop.,1
Jake was off roading.,He had to get help to get out.,Jake ended up getting free from the mud.,Jake got stuff in the mud.,2
I got a new racing game yesterday.,Finally after hours of playing I stopped.,"It was so fun, I was a clown.",I sat down to test out the game.,2
Freda is the boss of her office.,Freda can't understand why people have a problem with her!,She doesn't ask nicely to get things indefinite.,She doesn't ask nicely to get things done.,2
Carly had just called her kids in from playing outside.,"Then, she put some medicated lotion on her and hoped it would pass.",One of them had a bad cough.,"Carly, noticed her daughter had gotten into Poison Ivy.",2
Alexis had cut down a Christmas tree in the woods.,"When she put it up, it was the right size for her ceiling.",Alexis made sure the tree wasn't under 20 feet tall.,Alexis was worried it would be too big.,2
Francine had always dreamed of being a fashion designer.,She was so proud that she followed her dreams.,Francine decided to go to school to pursue her dreams.,francine applied to business school.,1
Jack went to his first basketball game with his dad.,"As the crowd cheered, Jack knew they'd never forget his first game.",Jack caught a ball that bounced over the fence.,Jack saw how wild the crowd was getting.,2
Nathan bullied a lot of other boys at school.,Nathan knew his violence would never prevent his own abuse.,Nathan never got into a fight.,Nathan got detention in school.,2
Mike made homemade pasta one day.,Pasta is now a regular staple of Mike's diet.,Mike found pasta hard to make.,Mile loves italian food.,2
Randy's friend gave him directions to his house.,Randy told his friend how relieved he was he found it.,Randy knew the area well.,He didn't know that part of town very good.,2
Cay had a crush on a boy in her class.,He smiled at her after and said he liked her too!,Cat sent a love note to the boy.,She told him she did not like him.,1
Lacy and Karen got in a fight.,Karen apologized too so they could be friends again.,"Karen missed Lacy so much, she couldn't bear not talking to her friend.","Lacy missed Karen so much, she couldn't bear not talking to her friend.",1
My friend had an announcement to make.,"So, I put on a smile and wished him the best of luck.",My friend told us he had cancer and was expected to die in a week.,my friend usually talks about some business deal.,2
George was about to participate in his first professional fight.,George proved his skills and won his first match.,George trained hard for two days before the fight.,"George was the underdog, but he had been training months to compete in this event.",2
Bob and his kids love football.,Bob and his kids share a hug to celebrate the win.,The team that Bob and his kids like won.,They played basketball out back all afternoon.,1
Alex was at target with his mom.,He begged his mother to buy it until she gave in.,He didn't see the toy he really wanted in any of the aisles.,Alex saw a game he really wanted.,2
Nova dreamed of being a professional dancer.,Nova's second choice accepted her.,Nova applied to a few dance schools but was denied by her first choice.,Nova applied to one dance school.,1
Carla and Sam spent the morning building a sand castle.,"The tide had rolled in, smashing it.",An unexpected event happened when the tide didn't come in that day.,The sand castle was built right on the shore.,2
Tami was in the 8th grade.,Tami made up her mind to try out for the JV Volleyball team.,She wanted to be less involved and lose friends.,Tami was tall for her age.,2
Donald is running for president.,Hopefully he loses the election.,"Donald is a selfless, wonderful person.",Donald is not the candidate I want for president.,2
I was very out of shape.,"After weeks of jumping rope, I began to feel excellent.",I had rope that I used for jumping at home.,I committed to exercise every month by jumping rope.,1
Ora's mom told her that the family had a very high gas bill.,"Ora was unhappy, but she understood.",Ora's family needed to use more gas.,Ora's mom kicked her out of the house so their gas bill would reduce.,2
Some dog kept me awake till I could not take it anymore.,"I gave the puppy the food and I went back to bed, both of us happy.",The puppy was given to me by a stork.,I got up and tried to find out why they kept barking.,2
Dan entered an eating contest at his local fair.,"Dan lost the contest, and was sick for days.","Dan ate a lot of food very slowly, hoping to win.",Dan tried to eat 30 cold hot dogs.,2
Melissa's friend was coming for a visit.,"Luckily, when Melissa pointed this out, her friend apologized.",Melissa was being rude.,Melissa's friend insisted they go out to eat somewhere Melissa hated.,2
Nell's teacher admired her artistic student.,The teacher was impressed that Nell drew an X-ray of an animal.,Nell studied biology to draw an animal.,Nell was told to do something unexpected.,2
Eli didn't know how to tie his shoes.,Eli learned and now ties like a pro.,His dad asked Eli how to tie his shoes.,eli asked his dad how to tie his shoes.,2
"When Francine was a little girl, her favorite treat was cotton candy.",She purchased a bag to share with her friends.,She was anxious to buy some today.,Francine saw bananas for sale at the fair.,1
Ben went to the beach on a sunny day.,Ben crawled into his tent and napped.,Ben spent hours sitting in the sun.,Ben pitched a large tent on the sand to block out the sun.,1
Tili wanted to escape from prison.,Tili's escape attempt was stopped and punished.,Tili ran for the prison gate one night.,Doug formulated a plan.,1
Sam had to pay off his credit card debt.,Sam eventually made enough to pay off his credit card debt.,Sam lost his job and could not make the payment.,Sam decided to work two jobs to pay off his debt.,2
Katie had let her kitchen get pretty messy.,She used bleach to be sure that it was clean and safe.,The kitchen got so bad mold might grow.,Katie needed to hurry and get it clean.,2
Randy's friend gave him directions to his house.,Randy saw the house but kept on driving and didn't come back.,The directions took Randy thru a great part of town.,The house had boarded windows and looked bad.,2
I was driving on the highway when my car suddenly broke down.,Turns out my insurance covered the tow truck and the rest was cheap!,I was worried about how to tow.,I called my insurance company to see if I could get assistance.,2
Tia was in college and went home for the holidays.,Before she left her father told her that they were getting a divorce.,Tia had dinner with her parents.,Tia thought something seemed good between her parents.,1
Joe's mother bugged him constantly to tie his shoelaces.,As he lay at the bottom of the stairs he wished he'd listened.,Joe tripped down the stairs with his shoes untied.,Joe tied them and fell down the stairs.,1
Nita was playing rummy with her dad.,Nita was so happy she finally beat her dad at rummy.,Nita practiced playing rummy with a dog.,Nita was never able to beat her Dad.,2
Fred had a job at the fair to fill the balloons.,The balloon popped in his face!,Fred saw a child come over with a pin.,Fred fill one balloon too small.,1
Samantha's dad always taught her how to be self-sufficient.,Samantha was very grateful to be able to get home safely.,Samantha found some friends who gave her a ride.,She had a flat tire and changed it.,2
I used my ruined treehouse to build a fort.,The new fort is twice as good as the old treehouse.,The tree fell on my fort.,It was the right size.,2
Mike had to go to the doctor.,All the blood work came back clear and he was relieved.,Mike was having blood drawn because he needed a routine checkup.,Mike complained of soreness in his kidneys.,2
Everyone thought it was funny that Rocky played hockey.,"Well, Rocket prefers the term Aerospace Engineer.",Rocky was very good at playing hockey.,"Rocky was a rocket scientist, and he hated rockets.",1
Arnold was scared of girls.,He nearly fainted.,Arnold saw a boy.,A girl came up to hug him one day.,2
Six year old Bobby wanted a cat very badly.,Bobby was overjoyed when his mother said the cat could stay.,Bobby found a cat in the garden.,Bobby begged his mom for a feral cat.,1
There was a unique pair of louboutin sandals Lucy had to have.,"Finally by chance, she stumbled across a pair.",Lucky looked for them in one store.,"Lucy looked for the sandals everywhere, but could never find them.",2
My dad and I like to hunt for worms.,My dad and I decided to sell some worms and use the rest for fishing.,We love to go fishing.,We found one of them in the backyard.,1
We decided to move to a new town next year.,It will be a fun adventure.,We grew fond of this town.,We got sick of this town.,2
Heather stole Ryan's phone.,Ryan snatched his phone back and reported Heather to administration.,Ryan was mad at Kim for stealing his phone.,Heather kept the phone away from Ryan.,2
Tracy E Warren keeps his house cleaner than any woman.,Finally I just asked him and he said he has a maid so now I know.,Tracy spends his days scrubbing and cleaning.,I asked him how it is so clean.,2
Kya was trying to be vegan.,"Before long, being vegan was effortless.",Kya learned many new steak recipes.,"At first it was hard, but she persevered.",2
Today I bought a solar panel system for my house.,I hope the system pays for itself within ten years.,The system was very expensive to have installed.,"This month, my electric bill was double  what is used to be.",1
My parents live a few blocks from me.,Somehow there was enough room and it was a lot of fun.,We all had dinner at my big house.,We all had dinner at my tiny house.,2
Lilly sent a lovely table for her dinner party.,She didn't tell anyone the cat had been licking it.,There wasn't any food on a plate.,there was a piece of steak on a plate.,2
Helen hung up the stocking on the railing.,And someone had put presents in her stocking!,Helen went to the store.,Helen went to sleep.,2
Tim wanted to mail a gift to his mom in a different state.,Tim left an apology in her voicemail and promised to call her later.,Tim forgot the gift in his car until after her birthday.,Tim realized it would barely make it in time for her birthday.,1
Greg was arrested for manslaughter.,So Greg was convicted.,greg had not called the police right away.,Greg's lawyer made a compelling defense case.,1
Joe could not remember his address.,After that he always remembered it.,Joe could not have a pizza delivered.,He made up a a rhyme that included his phone number.,1
Nadia needed new ballet shoes.,"After her first dance show, she paid him back.",Nadia's friend gifted her the money for new shoes.,A friend bought Nadia a pair.,2
"Michael loved to play basketball, but wasn't very good.",He made the team and went on to be a star.,Matthew read the basketball rules and practiced the game.,He practiced and tried out for a role.,1
Mike was an incredible Chess player.,Joseph won the chess game and Mike was humbled.,Mike entered a contest partnering with Joseph.,Joseph could tell Mike was playing too over-confidently.,2
Lisa was going home.,The next day Lucy missed Lisa when she saw their drawings.,All flights were grounded to Lisa couldn't leave for a couple of days.,"Lucy shared supplies in art class with Lisa, they bonded.",2
Martha was a terrible cook and her boyfriend knew it.,"After a while, everything Martha cooked was delicious.",Martha's boyfriend enrolled himself in cooking classes.,Martha worked hard to learn some recipies.,2
Lucy was at home waiting for her husband.,Lucy's husband was excited and thrill.,Her husband did not expect Lucy to be home yet.,she couldn't wait to tell him she wanted a divorce.,1
Kelsi was new at school and wanted to make new friends.,Lucy was happy she was able to have a best friend finally.,Kelsi and Thomas met at school.,Kelsi saw Lucy was reading the same book she was.,2
I saved up money for a long time.,I took the boat out on the lake and felt happy.,i had enough money to spend on food and extra stuff.,I bought my dream cat.,1
Jake had a new toy Spiderman silly string web slinger.,Dan's mother posted photo's on Facebook of Dan covered in silly string,Jake immediately threw his new toy in the trash.,Jake decided Dan was the Green Goblin.,2
Margo was going to the Rocky Horror Picture Show.,"Eventually, the show was over.",Margo sat down to watch.,Margo left the show.,1
Barry loves playing baseball.,Barry also bought a hot dog.,Barry's team won the game today.,Barry went to the bar for a game.,1
Erina's first day at her new job was today.,Her new boss complimented her on her performance.,Erina gave it her all and did well.,Erina took too many breaks the first day.,1
Penny was five Year's old and loved to play video games.,The screen cracked and she was unable to play for a month.,Penny dropped her game on accident.,She accidentally sold her game console.,1
Amy went to get frozen yogurt on her break.,Amy ended up throwing most of the yogurt in the trash.,Amy robbed the frozen yogurt store and ate all of the yogurt.,Amy was called back to work and her frozen yogurt melted.,2
Ellen wanted to know if she could wear leggings while tap dancing.,Ellen decided to wear whatever she wanted in the future.,Ellen realized that she could.,Ellen was told there was a dress code.,1
Lily wanted a new Halloween costume.,She ended up making a rabbit costume.,Lily decided to make her costume a bear costume.,All the costumes were gone though.,2
Once there was a girl named Mia who could spell well.,Mia won the spelling bee and felt more sure of herself afterwards.,She studied hard because she wanted to spell.,Mia entered the spelling bee but didn't practice.,1
Everyone at my bus stop were waiting for the bus.,My teacher told me to stand outside since I came too late.,The bus was late and so was I to school.,bus showed up early and I was late for class.,1
Jean wanted to travel to Africa.,Jean's trip to Africa was better than she had hoped.,Jean booked her trip and went.,Jean ended up having a bad time in Africa.,1
Mary had never made rice before.,She resolved to read directions next time!,Mary ended up overcooking the pasta.,The rice Mary put on the stove out over and burned on the stove.,2
Brad woke up late this morning.,He had worn 2 different pairs of shoes to work this morning.,Brad rushed to work.,"He was in such a slow mood, he didn't dress correctly.",1
I was getting ready to leave my hotel room for the day.,I was relieved that it was only a drill.,I left all my stuff out on the bed.,I heard loud fire alarm.,2
For a lark I started dragging my foot behind me at work.,He told me to knock it off.,My shoes made a really loud sound in front of my boss.,I fell and broke my leg.,1
Tony liked art.,Tony then went back to school and found a different major.,"However, he was not very talented, and his hair did not sell very well.",Tony applies for a lot of art gallery jobs and got rejected.,2
I found a $600 dollar envelope in the mail today.,I am honest.,I turned the $600 dollars to the authorities.,I returned the empty envelope to the person it was addressed to.,1
Becky has a nephew named Dominick.,Becky and Dominick can now play Uno together.,Dominick moved his house away from Becky's house.,Dominick shifted their house near the Becky house so.,2
Tom was accidentally shot by his teammate in the army.,He ends up being homeless.,Tom developed emotional problems affecting his division.,Tom was unable to find work being in a wheelchair.,2
Tommy was having a bad day.,Tommy had good friends.,Tommy's friends cheered him up.,Tommy's friends didn't pay attention to him.,1
Jay wanted to vote.,"That is, until he got older and did it again.",Jay wasn't sure how to vote.,Jay swore he'd never vote again.,2
I was really nervous before my first middle school dance.,"Now, she won't even talk to me.",My date threw up on me.,I threw up on my date.,2
My four-year-old nephew loves to wake us up.,"As I screamed, he yelled cold hands.",Today I was ready for him. When he came into our room a jumped out and tickled him.,He would jump on our ear to get our attention.,1
I loved to make my wife laugh.,I started making her laugh again and she became happy!,The my wife became sad.,My husband was sad so I thought I would cheer her up.,1
Rachel was cooking dinner.,Then she pulled herself together and took care of the cut.,Rachel burned her hand.,She cut her finger when chopping vegetables.,2
Sam loved striped clothes.,She began to wear stripes every day!,Sam got lots of complaints about her clothing.,She decided to go out and buy and entire outfit.,2
Jimmy's phone ringed in class.,"As a result, she called the security guard to take him away.",He ended up getting in trouble.,"Jimmy talked on the phone and wouldn't stop, delighting the professor.",1
Kelly was cooking dinner for her parents for the first time.,Everyone laughed and they joked about it for years.,She severely undercooked the chicken and badly burned the potatoes.,Kelly's dinner was tasty.,1
Amber was scared about her future.,She was no longer worried about her future.,Amber talked to her academic advisor.,Amber talked to her psychic advisor.,1
The day of the big game had arrived.,Terry scored 2 goals that day and got his team the victory.,Terry practiced for a long time.,terry was so big.,1
Sara wanted a new puppy really badly.,A raccoon sprang out and Sara never wanted an animal again.,Sara was outside looking at the neighbor's dog.,Sara was outside looking at the neighbor's underwear.,1
Monica was at the library with her boyfriend.,She kicked them out because they were loitering.,Children brought food and left their trash laying on the reading table.,The librarian noticed Monica and her boyfriend were just hanging out reading.,1
When Jen is 10 years old she wants to wear makeup.,Jen learns her lesson.,Jen applied her mother's makeup and looked like a clown.,Jen's mother let her put on her own makeup but Jen's friends complimented her.,1
Every night the alarm would go off at Ted's house.,It turns out a stray cat set off the alarm.,He would run outside but nobody would be there.,"Ted got sick of being woken up, so he stayed up all night to moved out of his house.",1
Neil had tried to see the Loch Ness Monster on his trip to Scotland.,They said they did not believe in the monster at all!,They saw the monster themselves.,Neil asked the locals where to find it.,2
I woke up one morning and went outside to grab the newspaper.,I went outside and quickly grabbed my newspaper.,It was a tornado outside.,It was raining and I did not want to get wet.,2
Jim was incredibly tired one morning.,"After he woke up, he saw a steaming, boiling pot on the stove.",Jim's wife knew he was tired and made coffee.,jim made breakfast.,1
The family prepared the food and packed it away.,The family had a horrible day.,"After the picnic, it started raining.",Popped a tire and spent their picnic time waiting for a tow-truck.,2
Tim never locked his bathroom window.,Tim was glad he kept the window unlocked.,Tim was able to break through the window.,Tim lost his keys to the house.,2
A friend of the family has an old farm.,No sane dog chases a pack of wild coyotes.,The people that live on the old farm has a dog that fears nothing.,There is an old dog on the farm who has lost its mind and barks all day.,1
Oren needs to earn extra money for school.,Oren feels great that he will be earning extra money.,Oren got a part time job delivering pizza.,he went inside and got a part time job.,1
Beth was a model in a fashion show at her school.,"Beth missed the show, and was unable to tell anyone she wasn't coming.",Beth passed out from overeating.,Beth went out and broke her phone with no ride home.,2
Overnight there was a huge lightning storm that knocked out the power.,Everyone was late and had to hurry.,Everyone realized that the power was out for a long time.,"When I awoke, I rolled over and saw the alarm clock flashing 6 o'clock and I knew I'd missed my interview.",2
Amelia wanted to be friends with Kiku.,They had both wanted to be friends with each other!,"They were both very shy, but were attracted to eachother without even knowing!.",She went under to say hello.,1
A man was thrown out of every residence he could find.,"Now he is homeless, and society at large is poorer for it.","the man failed to get a job, until recently.",The man eventually gave up on looking.,2
Chad was recently visiting his sister for Christmas.,Chad decided he would not be eating the piece of cake.,"Chad ate so much at dinner that he was getting heartburn, then his sister brought out a cake.",Chad didn't eat cause he had the flu.,1
Amber loves to read.,She went to the library instead.,Ambers friends wanted to see her at the library one night.,Amber liked having a book in her hand.,2
Dave decided he would wash his dad's car that weekend.,His dad wasn't mad but told Dave to be careful next time.,"Dave accidentally scratched his dad's car, but told him.",dave almost damaged the car while washing it.,1
Chloe loved the book she was reading.,She went three pages without remembering what she read.,"One night, Chloe had the tv on while she was reading her book.",The book couldn't get her attention.,2
Mike was running out of closet space.,Mike realized that he didn't have enough coat hangers.,Mike kept getting more clothes.,Mike discovered excess coat hangers took up most of the closet space.,1
